"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_no.training.experience","Faculty Issues: Expertise/training",44,175,25.1428571428571,103,0.427184466019417,"No_Training"
"2","3_short.workshop","Faculty Issues: Expertise/training",37,175,21.1428571428571,231,0.16017316017316,"SelfDtaught"
"3","4_some.undergraduate.courses","Faculty Issues: Expertise/training",6,175,3.42857142857143,31,0.193548387096774,"Short_workshops"
"4","6_undergraduate.certificate","Faculty Issues: Expertise/training",1,175,0.571428571428571,5,0.2,"Some_undergraduate_coursework"
"5","7_undergraduate.degree","Faculty Issues: Expertise/training",1,175,0.571428571428571,10,0.1,"Undergraduate_certificate"
"6","8_post.graduate.degree","Faculty Issues: Expertise/training",10,175,5.71428571428571,148,0.0675675675675676,"Undergraduate_degree"
"7","9_graduate.course.or.degree","Faculty Issues: Expertise/training",1,175,0.571428571428571,55,0.0181818181818182,"PostDgraduate_certificate"
"8","self.taught","Faculty Issues: Expertise/training",75,175,42.8571428571429,469,0.159914712153518,"Graduate_course_or_degree"
"9","1_no.training.experience","Faculty Issues: Time",15,135,11.1111111111111,103,0.145631067961165,"No_Training"
"10","3_short.workshop","Faculty Issues: Time",22,135,16.2962962962963,231,0.0952380952380952,"SelfDtaught"
"11","4_some.undergraduate.courses","Faculty Issues: Time",7,135,5.18518518518519,31,0.225806451612903,"Short_workshops"
"12","6_undergraduate.certificate","Faculty Issues: Time",1,135,0.740740740740741,5,0.2,"Some_undergraduate_coursework"
"13","7_undergraduate.degree","Faculty Issues: Time",0,135,0,10,0,"Undergraduate_certificate"
"14","8_post.graduate.degree","Faculty Issues: Time",23,135,17.037037037037,148,0.155405405405405,"Undergraduate_degree"
"15","9_graduate.course.or.degree","Faculty Issues: Time",1,135,0.740740740740741,55,0.0181818181818182,"PostDgraduate_certificate"
"16","self.taught","Faculty Issues: Time",66,135,48.8888888888889,469,0.140724946695096,"Graduate_course_or_degree"
"17","1_no.training.experience","Faculty Issues: Curriculum design/integration",3,32,9.375,103,0.029126213592233,"No_Training"
"18","3_short.workshop","Faculty Issues: Curriculum design/integration",6,32,18.75,231,0.025974025974026,"SelfDtaught"
"19","4_some.undergraduate.courses","Faculty Issues: Curriculum design/integration",2,32,6.25,31,0.0645161290322581,"Short_workshops"
"20","6_undergraduate.certificate","Faculty Issues: Curriculum design/integration",0,32,0,5,0,"Some_undergraduate_coursework"
"21","7_undergraduate.degree","Faculty Issues: Curriculum design/integration",0,32,0,10,0,"Undergraduate_certificate"
"22","8_post.graduate.degree","Faculty Issues: Curriculum design/integration",4,32,12.5,148,0.027027027027027,"Undergraduate_degree"
"23","9_graduate.course.or.degree","Faculty Issues: Curriculum design/integration",0,32,0,55,0,"PostDgraduate_certificate"
"24","self.taught","Faculty Issues: Curriculum design/integration",17,32,53.125,469,0.0362473347547974,"Graduate_course_or_degree"
"25","1_no.training.experience","Faculty Issues: Lack of interest",0,9,0,103,0,"No_Training"
"26","3_short.workshop","Faculty Issues: Lack of interest",4,9,44.4444444444444,231,0.0173160173160173,"SelfDtaught"
"27","4_some.undergraduate.courses","Faculty Issues: Lack of interest",0,9,0,31,0,"Short_workshops"
"28","6_undergraduate.certificate","Faculty Issues: Lack of interest",0,9,0,5,0,"Some_undergraduate_coursework"
"29","7_undergraduate.degree","Faculty Issues: Lack of interest",0,9,0,10,0,"Undergraduate_certificate"
"30","8_post.graduate.degree","Faculty Issues: Lack of interest",0,9,0,148,0,"Undergraduate_degree"
"31","9_graduate.course.or.degree","Faculty Issues: Lack of interest",1,9,11.1111111111111,55,0.0181818181818182,"PostDgraduate_certificate"
"32","self.taught","Faculty Issues: Lack of interest",4,9,44.4444444444444,469,0.00852878464818763,"Graduate_course_or_degree"
"33","1_no.training.experience","Faculty Issues: New Faculty",0,4,0,103,0,"No_Training"
"34","3_short.workshop","Faculty Issues: New Faculty",1,4,25,231,0.00432900432900433,"SelfDtaught"
"35","4_some.undergraduate.courses","Faculty Issues: New Faculty",1,4,25,31,0.032258064516129,"Short_workshops"
"36","6_undergraduate.certificate","Faculty Issues: New Faculty",0,4,0,5,0,"Some_undergraduate_coursework"
"37","7_undergraduate.degree","Faculty Issues: New Faculty",0,4,0,10,0,"Undergraduate_certificate"
"38","8_post.graduate.degree","Faculty Issues: New Faculty",0,4,0,148,0,"Undergraduate_degree"
"39","9_graduate.course.or.degree","Faculty Issues: New Faculty",2,4,50,55,0.0363636363636364,"PostDgraduate_certificate"
"40","self.taught","Faculty Issues: New Faculty",0,4,0,469,0,"Graduate_course_or_degree"
"41","1_no.training.experience","Curriculum Issues: No space",9,102,8.82352941176471,103,0.087378640776699,"No_Training"
"42","3_short.workshop","Curriculum Issues: No space",18,102,17.6470588235294,231,0.0779220779220779,"SelfDtaught"
"43","4_some.undergraduate.courses","Curriculum Issues: No space",4,102,3.92156862745098,31,0.129032258064516,"Short_workshops"
