"","category_key","variable","value","response_count","Yes_percentage","No_percentage","response_stratafying_cat","percentage_of_n","proportion_error","ymax_y","ymin_y","ymax_n","ymin_n","chi_values"
"1","No_Training","Yes",0.544303797468354,79,0.544303797468354,0.455696202531646,103,0.766990291262136,0.0816415836633819,0.588741621487664,0.499865973449045,0.492899962175718,0.418492442887573,0.430953224000789
"2","SelfDtaught","Yes",0.513089005235602,382,0.513089005235602,0.486910994764398,469,0.814498933901919,0.0351787282122624,0.531138823899485,0.495039186571719,0.504039904312777,0.469782085216019,0.608899828257115
"3","Short_workshops","Yes",0.595121951219512,205,0.595121951219512,0.404878048780488,231,0.887445887445887,0.0407562038418999,0.619376862774204,0.570867039664821,0.421379341067696,0.38837675649328,0.00645203052577765
"4","Some_undergraduate_coursework","Yes",0.608695652173913,23,0.608695652173913,0.391304347826087,31,0.741935483870968,0.154033243946234,0.70245501805423,0.514936286293597,0.451578225892005,0.331030469760169,0.29714653034847
"5","Undergraduate_certificate","Yes",0.75,4,0.75,0.25,5,0.8,0.350609016230633,1.01295676217297,0.487043237827026,0.337652254057658,0.162347745942342,0.317310507862914
"6","Undergraduate_degree","Yes",0.666666666666667,9,0.666666666666667,0.333333333333333,10,0.9,0.185938509691368,0.790625673127579,0.542707660205754,0.395312836563789,0.271353830102877,0.317310507862914
"7","PostDgraduate_certificate","Yes",0.504132231404959,121,0.504132231404959,0.495867768595041,148,0.817567567567568,0.0622200112310807,0.535499344504925,0.472765118304992,0.526720666726156,0.465014870463927,0.927564826606211
"8","Graduate_course_or_degree","Yes",0.418604651162791,43,0.418604651162791,0.581395348837209,55,0.781818181818182,0.109151298752708,0.464295892501134,0.372913409824448,0.644855406251575,0.517935291422844,0.285750630373024
"9","No_Training","No",0.455696202531646,79,0.544303797468354,0.455696202531646,103,0.766990291262136,0.0816415836633819,0.588741621487664,0.499865973449045,0.492899962175718,0.418492442887573,0.430953224000789
"10","SelfDtaught","No",0.486910994764398,382,0.513089005235602,0.486910994764398,469,0.814498933901919,0.0351787282122624,0.531138823899485,0.495039186571719,0.504039904312777,0.469782085216019,0.608899828257115
"11","Short_workshops","No",0.404878048780488,205,0.595121951219512,0.404878048780488,231,0.887445887445887,0.0407562038418999,0.619376862774204,0.570867039664821,0.421379341067696,0.38837675649328,0.00645203052577765
"12","Some_undergraduate_coursework","No",0.391304347826087,23,0.608695652173913,0.391304347826087,31,0.741935483870968,0.154033243946234,0.70245501805423,0.514936286293597,0.451578225892005,0.331030469760169,0.29714653034847
"13","Undergraduate_certificate","No",0.25,4,0.75,0.25,5,0.8,0.350609016230633,1.01295676217297,0.487043237827026,0.337652254057658,0.162347745942342,0.317310507862914
"14","Undergraduate_degree","No",0.333333333333333,9,0.666666666666667,0.333333333333333,10,0.9,0.185938509691368,0.790625673127579,0.542707660205754,0.395312836563789,0.271353830102877,0.317310507862914
"15","PostDgraduate_certificate","No",0.495867768595041,121,0.504132231404959,0.495867768595041,148,0.817567567567568,0.0622200112310807,0.535499344504925,0.472765118304992,0.526720666726156,0.465014870463927,0.927564826606211
"16","Graduate_course_or_degree","No",0.581395348837209,43,0.418604651162791,0.581395348837209,55,0.781818181818182,0.109151298752708,0.464295892501134,0.372913409824448,0.644855406251575,0.517935291422844,0.285750630373024
