"","Var1","Var2","value"
"1","Q38_scored_sub_Assoc.1.28.","Q38_Faculty.Issue...No.Expertise..Training",34
"2","Q38_scored_sub_Bacca.1.28.","Q38_Faculty.Issue...No.Expertise..Training",52
"3","Q38_scored_sub_Master.1.28.","Q38_Faculty.Issue...No.Expertise..Training",41
"4","Q38_scored_sub_Doc.1.28.","Q38_Faculty.Issue...No.Expertise..Training",33
"5","chiValues","Q38_Faculty.Issue...No.Expertise..Training",0.141929035482259
"6","Q38_scored_sub_Assoc.1.28.","Q38_Faculty.Issue...Time",32
"7","Q38_scored_sub_Bacca.1.28.","Q38_Faculty.Issue...Time",32
"8","Q38_scored_sub_Master.1.28.","Q38_Faculty.Issue...Time",26
"9","Q38_scored_sub_Doc.1.28.","Q38_Faculty.Issue...Time",37
"10","chiValues","Q38_Faculty.Issue...Time",0.601699150424788
"11","Q38_scored_sub_Assoc.1.28.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",6
"12","Q38_scored_sub_Bacca.1.28.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",5
"13","Q38_scored_sub_Master.1.28.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",7
"14","Q38_scored_sub_Doc.1.28.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",10
"15","chiValues","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",0.635182408795602
"16","Q38_scored_sub_Assoc.1.28.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",2
"17","Q38_scored_sub_Bacca.1.28.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",5
"18","Q38_scored_sub_Master.1.28.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",1
"19","Q38_scored_sub_Doc.1.28.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",0
"20","chiValues","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",0.0889555222388806
"21","Q38_scored_sub_Assoc.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",0
"22","Q38_scored_sub_Bacca.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",0
"23","Q38_scored_sub_Master.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",1
"24","Q38_scored_sub_Doc.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",1
"25","chiValues","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",1
"26","Q38_scored_sub_Assoc.1.28.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",26
"27","Q38_scored_sub_Bacca.1.28.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",31
"28","Q38_scored_sub_Master.1.28.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",18
"29","Q38_scored_sub_Doc.1.28.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",25
"30","chiValues","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",0.340329835082459
"31","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",19
"32","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",5
"33","Q38_scored_sub_Master.1.28.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",9
"34","Q38_scored_sub_Doc.1.28.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",16
"35","chiValues","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",0.0229885057471264
"36","Q38_scored_sub_Assoc.1.28.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",9
"37","Q38_scored_sub_Bacca.1.28.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",10
"38","Q38_scored_sub_Master.1.28.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",4
"39","Q38_scored_sub_Doc.1.28.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",7
"40","chiValues","Q38_Curriculum.Issue...Time.for.Curriculum.Development",0.441779110444778
"41","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",10
"42","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",1
"43","Q38_scored_sub_Master.1.28.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",2
"44","Q38_scored_sub_Doc.1.28.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",6
"45","chiValues","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",0.0144927536231884
"46","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",2
"47","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",5
"48","Q38_scored_sub_Master.1.28.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",2
"49","Q38_scored_sub_Doc.1.28.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",6
"50","chiValues","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",0.387306346826587
"51","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issue...Class.Size",0
"52","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issue...Class.Size",1
"53","Q38_scored_sub_Master.1.28.","Q38_Curric.Issue...Class.Size",2
"54","Q38_scored_sub_Doc.1.28.","Q38_Curric.Issue...Class.Size",5
"55","chiValues","Q38_Curric.Issue...Class.Size",0.101949025487256
"56","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",2
"57","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",1
"58","Q38_scored_sub_Master.1.28.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",2
"59","Q38_scored_sub_Doc.1.28.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",3
"60","chiValues","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",0.963018490754623
"61","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",0
"62","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",1
"63","Q38_scored_sub_Master.1.28.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",2
"64","Q38_scored_sub_Doc.1.28.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",1
"65","chiValues","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",0.912043978010994
"66","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0
"67","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0
"68","Q38_scored_sub_Master.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",1
"69","Q38_scored_sub_Doc.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0
"70","chiValues","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",1
"71","Q38_scored_sub_Assoc.1.28.","Q38_Resources...Access.to.Quality.Exercises..Content",9
"72","Q38_scored_sub_Bacca.1.28.","Q38_Resources...Access.to.Quality.Exercises..Content",10
"73","Q38_scored_sub_Master.1.28.","Q38_Resources...Access.to.Quality.Exercises..Content",9
"74","Q38_scored_sub_Doc.1.28.","Q38_Resources...Access.to.Quality.Exercises..Content",10
"75","chiValues","Q38_Resources...Access.to.Quality.Exercises..Content",1
"76","Q38_scored_sub_Assoc.1.28.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",7
"77","Q38_scored_sub_Bacca.1.28.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",9
"78","Q38_scored_sub_Master.1.28.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",6
"79","Q38_scored_sub_Doc.1.28.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",10
"80","chiValues","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",0.790104947526237
"81","Q38_scored_sub_Assoc.1.28.","Q38_Resources...Access.to.Approp.Introductory.Content",8
"82","Q38_scored_sub_Bacca.1.28.","Q38_Resources...Access.to.Approp.Introductory.Content",1
"83","Q38_scored_sub_Master.1.28.","Q38_Resources...Access.to.Approp.Introductory.Content",2
"84","Q38_scored_sub_Doc.1.28.","Q38_Resources...Access.to.Approp.Introductory.Content",2
"85","chiValues","Q38_Resources...Access.to.Approp.Introductory.Content",0.0309845077461269
"86","Q38_scored_sub_Assoc.1.28.","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",5
"87","Q38_scored_sub_Bacca.1.28.","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",5
"88","Q38_scored_sub_Master.1.28.","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",4
"89","Q38_scored_sub_Doc.1.28.","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",2
"90","chiValues","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",0.788105947026487
"91","Q38_scored_sub_Assoc.1.28.","Q38_Resource.Issues...Funding",3
"92","Q38_scored_sub_Bacca.1.28.","Q38_Resource.Issues...Funding",1
