"","Var1","Freq","percentage","percentage_of_total_N"
"1","1957",1,0.000812347684809098,0.000812347684809098
"2","1966",1,0.000812347684809098,0.000812347684809098
"3","1968",2,0.0016246953696182,0.0016246953696182
"4","1970",1,0.000812347684809098,0.000812347684809098
"5","1971",6,0.00487408610885459,0.00487408610885459
"6","1972",4,0.00324939073923639,0.00324939073923639
"7","1973",1,0.000812347684809098,0.000812347684809098
"8","1974",3,0.00243704305442729,0.00243704305442729
"9","1975",5,0.00406173842404549,0.00406173842404549
"10","1976",7,0.00568643379366369,0.00568643379366369
"11","1977",8,0.00649878147847279,0.00649878147847279
"12","1978",12,0.00974817221770918,0.00974817221770918
"13","1979",4,0.00324939073923639,0.00324939073923639
"14","1980",11,0.00893582453290008,0.00893582453290008
"15","1981",14,0.0113728675873274,0.0113728675873274
"16","1982",16,0.0129975629569456,0.0129975629569456
"17","1983",13,0.0105605199025183,0.0105605199025183
"18","1984",16,0.0129975629569456,0.0129975629569456
"19","1985",19,0.0154346060113729,0.0154346060113729
"20","1986",26,0.0211210398050366,0.0211210398050366
"21","1987",21,0.0170593013809911,0.0170593013809911
"22","1989",54,0.0438667749796913,0.0438667749796913
"23","1990",23,0.0186839967506093,0.0186839967506093
"24","1991",25,0.0203086921202275,0.0203086921202275
"25","1992",34,0.0276198212835093,0.0276198212835093
"26","1993",30,0.0243704305442729,0.0243704305442729
"27","1994",24,0.0194963444354184,0.0194963444354184
"28","1995",20,0.016246953696182,0.016246953696182
"29","1996",38,0.0308692120227457,0.0308692120227457
"30","1997",31,0.025182778229082,0.025182778229082
"31","1998",33,0.0268074735987002,0.0268074735987002
"32","1999",26,0.0211210398050366,0.0211210398050366
"33","2000",39,0.0316815597075548,0.0316815597075548
"34","2001",30,0.0243704305442729,0.0243704305442729
"35","2002",35,0.0284321689683184,0.0284321689683184
"36","2003",29,0.0235580828594639,0.0235580828594639
"37","2004",37,0.0300568643379366,0.0300568643379366
"38","2005",33,0.0268074735987002,0.0268074735987002
"39","2006",31,0.025182778229082,0.025182778229082
"40","2007",27,0.0219333874898457,0.0219333874898457
"41","2008",50,0.0406173842404549,0.0406173842404549
"42","2009",34,0.0276198212835093,0.0276198212835093
"43","2010",34,0.0276198212835093,0.0276198212835093
"44","2011",30,0.0243704305442729,0.0243704305442729
"45","2012",20,0.016246953696182,0.016246953696182
"46","2013",28,0.0227457351746548,0.0227457351746548
"47","2014",17,0.0138099106417547,0.0138099106417547
"48","2015",13,0.0105605199025183,0.0105605199025183
"49","2016",7,0.00568643379366369,0.00568643379366369
"50",NA,208,0.168968318440292,0.168968318440292
