"","Var1","Var2","value"
"1","scored_sub_Assoc.1.34.","Q38_Faculty.Issues...General",63
"2","scored_sub_Bacca.1.34.","Q38_Faculty.Issues...General",71
"3","scored_sub_Master.1.34.","Q38_Faculty.Issues...General",60
"4","scored_sub_Doc.1.34.","Q38_Faculty.Issues...General",67
"5","chiValues","Q38_Faculty.Issues...General",0.806096951524238
"6","scored_sub_Assoc.1.34.","Q38_Faculty.Issue...No.Expertise..Training",34
"7","scored_sub_Bacca.1.34.","Q38_Faculty.Issue...No.Expertise..Training",52
"8","scored_sub_Master.1.34.","Q38_Faculty.Issue...No.Expertise..Training",41
"9","scored_sub_Doc.1.34.","Q38_Faculty.Issue...No.Expertise..Training",33
"10","chiValues","Q38_Faculty.Issue...No.Expertise..Training",0.118440779610195
"11","scored_sub_Assoc.1.34.","Q38_Faculty.Issue...Time",32
"12","scored_sub_Bacca.1.34.","Q38_Faculty.Issue...Time",32
"13","scored_sub_Master.1.34.","Q38_Faculty.Issue...Time",26
"14","scored_sub_Doc.1.34.","Q38_Faculty.Issue...Time",37
"15","chiValues","Q38_Faculty.Issue...Time",0.5952023988006
"16","scored_sub_Assoc.1.34.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",6
"17","scored_sub_Bacca.1.34.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",5
"18","scored_sub_Master.1.34.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",7
"19","scored_sub_Doc.1.34.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",10
"20","chiValues","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",0.652673663168416
"21","scored_sub_Assoc.1.34.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",2
"22","scored_sub_Bacca.1.34.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",5
"23","scored_sub_Master.1.34.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",1
"24","scored_sub_Doc.1.34.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",0
"25","chiValues","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",0.0939530234882559
"26","scored_sub_Assoc.1.34.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",0
"27","scored_sub_Bacca.1.34.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",0
"28","scored_sub_Master.1.34.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",1
"29","scored_sub_Doc.1.34.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",1
"30","chiValues","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",1
"31","scored_sub_Assoc.1.34.","Q38_Curriculum.Issues...General",55
"32","scored_sub_Bacca.1.34.","Q38_Curriculum.Issues...General",44
"33","scored_sub_Master.1.34.","Q38_Curriculum.Issues...General",33
"34","scored_sub_Doc.1.34.","Q38_Curriculum.Issues...General",54
"35","chiValues","Q38_Curriculum.Issues...General",0.0804597701149425
"36","scored_sub_Assoc.1.34.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",26
"37","scored_sub_Bacca.1.34.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",31
"38","scored_sub_Master.1.34.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",18
"39","scored_sub_Doc.1.34.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",25
"40","chiValues","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",0.359320339830085
"41","scored_sub_Assoc.1.34.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",19
"42","scored_sub_Bacca.1.34.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",5
"43","scored_sub_Master.1.34.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",9
"44","scored_sub_Doc.1.34.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",16
"45","chiValues","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",0.0189905047476262
"46","scored_sub_Assoc.1.34.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",9
"47","scored_sub_Bacca.1.34.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",10
"48","scored_sub_Master.1.34.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",4
"49","scored_sub_Doc.1.34.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",7
"50","chiValues","Q38_Curriculum.Issue...Time.for.Curriculum.Development",0.452273863068466
"51","scored_sub_Assoc.1.34.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",10
"52","scored_sub_Bacca.1.34.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",1
"53","scored_sub_Master.1.34.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",2
"54","scored_sub_Doc.1.34.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",6
"55","chiValues","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",0.015992003998001
"56","scored_sub_Assoc.1.34.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",2
"57","scored_sub_Bacca.1.34.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",5
"58","scored_sub_Master.1.34.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",2
"59","scored_sub_Doc.1.34.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",6
"60","chiValues","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",0.384807596201899
"61","scored_sub_Assoc.1.34.","Q38_Curric.Issue...Class.Size",0
"62","scored_sub_Bacca.1.34.","Q38_Curric.Issue...Class.Size",1
"63","scored_sub_Master.1.34.","Q38_Curric.Issue...Class.Size",2
"64","scored_sub_Doc.1.34.","Q38_Curric.Issue...Class.Size",5
"65","chiValues","Q38_Curric.Issue...Class.Size",0.0964517741129435
"66","scored_sub_Assoc.1.34.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",2
"67","scored_sub_Bacca.1.34.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",1
"68","scored_sub_Master.1.34.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",2
"69","scored_sub_Doc.1.34.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",3
"70","chiValues","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",0.963018490754623
"71","scored_sub_Assoc.1.34.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",0
"72","scored_sub_Bacca.1.34.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",1
"73","scored_sub_Master.1.34.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",2
"74","scored_sub_Doc.1.34.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",1
"75","chiValues","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",0.907546226886557
"76","scored_sub_Assoc.1.34.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0
"77","scored_sub_Bacca.1.34.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0
"78","scored_sub_Master.1.34.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",1
"79","scored_sub_Doc.1.34.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0
"80","chiValues","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",1
"81","scored_sub_Assoc.1.34.","Q38_Resource.Issues...General",32
"82","scored_sub_Bacca.1.34.","Q38_Resource.Issues...General",23
"83","scored_sub_Master.1.34.","Q38_Resource.Issues...General",19
"84","scored_sub_Doc.1.34.","Q38_Resource.Issues...General",23
"85","chiValues","Q38_Resource.Issues...General",0.293853073463268
"86","scored_sub_Assoc.1.34.","Q38_Resources...Access.to.Quality.Exercises..Content",9
