"","Var1","Var2","value"
"1","q33_Assoc_var_summed.1.6.","q33_Faculty_issues_sum",78
"2","q33_Bacca_var_summed.1.6.","q33_Faculty_issues_sum",113
"3","q33_Doc_var_summed.1.6.","q33_Faculty_issues_sum",116
"4","q33_Master_var_summed.1.6.","q33_Faculty_issues_sum",83
"5","chiValues","q33_Faculty_issues_sum",0.00599700149925037
"6","q33_Assoc_var_summed.1.6.","q33_Facility_issues_sum",8
"7","q33_Bacca_var_summed.1.6.","q33_Facility_issues_sum",15
"8","q33_Doc_var_summed.1.6.","q33_Facility_issues_sum",19
"9","q33_Master_var_summed.1.6.","q33_Facility_issues_sum",8
"10","chiValues","q33_Facility_issues_sum",0.0789605197401299
"11","q33_Assoc_var_summed.1.6.","q33_Resources_issues_sum",19
"12","q33_Bacca_var_summed.1.6.","q33_Resources_issues_sum",18
"13","q33_Doc_var_summed.1.6.","q33_Resources_issues_sum",19
"14","q33_Master_var_summed.1.6.","q33_Resources_issues_sum",24
"15","chiValues","q33_Resources_issues_sum",0.788605697151424
"16","q33_Assoc_var_summed.1.6.","q33_Student_issues_sum",45
"17","q33_Bacca_var_summed.1.6.","q33_Student_issues_sum",69
"18","q33_Doc_var_summed.1.6.","q33_Student_issues_sum",156
"19","q33_Master_var_summed.1.6.","q33_Student_issues_sum",86
"20","chiValues","q33_Student_issues_sum",0.000499750124937531
"21","q33_Assoc_var_summed.1.6.","q33_Curriculum_issues_sum",39
"22","q33_Bacca_var_summed.1.6.","q33_Curriculum_issues_sum",72
"23","q33_Doc_var_summed.1.6.","q33_Curriculum_issues_sum",90
"24","q33_Master_var_summed.1.6.","q33_Curriculum_issues_sum",57
"25","chiValues","q33_Curriculum_issues_sum",0.000999500249875062
"26","q33_Assoc_var_summed.1.6.","q33_Institutional_issues_sum",3
"27","q33_Bacca_var_summed.1.6.","q33_Institutional_issues_sum",10
"28","q33_Doc_var_summed.1.6.","q33_Institutional_issues_sum",1
"29","q33_Master_var_summed.1.6.","q33_Institutional_issues_sum",9
"30","chiValues","q33_Institutional_issues_sum",0.0139930034982509
