"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_Yes","Faculty Issues: Expertise/training",68,127,53.5433070866142,354,0.192090395480226,"MinorityDServing"
"2","2_No","Faculty Issues: Expertise/training",59,127,46.4566929133858,399,0.147869674185464,"NonDMinorityDServing"
"3","1_Yes","Faculty Issues: Time",46,91,50.5494505494505,354,0.129943502824859,"MinorityDServing"
"4","2_No","Faculty Issues: Time",45,91,49.4505494505495,399,0.112781954887218,"NonDMinorityDServing"
"5","1_Yes","Faculty Issues: Curriculum design/integration",16,27,59.2592592592593,354,0.0451977401129944,"MinorityDServing"
"6","2_No","Faculty Issues: Curriculum design/integration",11,27,40.7407407407407,399,0.0275689223057644,"NonDMinorityDServing"
"7","1_Yes","Faculty Issues: Lack of interest",3,5,60,354,0.00847457627118644,"MinorityDServing"
"8","2_No","Faculty Issues: Lack of interest",2,5,40,399,0.0050125313283208,"NonDMinorityDServing"
"9","1_Yes","Faculty Issues: New Faculty",3,4,75,354,0.00847457627118644,"MinorityDServing"
"10","2_No","Faculty Issues: New Faculty",1,4,25,399,0.0025062656641604,"NonDMinorityDServing"
"11","1_Yes","Curriculum Issues: No space",39,77,50.6493506493506,354,0.110169491525424,"MinorityDServing"
"12","2_No","Curriculum Issues: No space",38,77,49.3506493506493,399,0.0952380952380952,"NonDMinorityDServing"
"13","1_Yes","Curriculum Issues: Incompatible with current curriculum",22,37,59.4594594594595,354,0.0621468926553672,"MinorityDServing"
"14","2_No","Curriculum Issues: Incompatible with current curriculum",15,37,40.5405405405405,399,0.037593984962406,"NonDMinorityDServing"
"15","1_Yes","Curriculum Issues: Time needed to develop",10,25,40,354,0.0282485875706215,"MinorityDServing"
"16","2_No","Curriculum Issues: Time needed to develop",15,25,60,399,0.037593984962406,"NonDMinorityDServing"
"17","1_Yes","Curriculum Issues: No control",10,15,66.6666666666667,354,0.0282485875706215,"MinorityDServing"
"18","2_No","Curriculum Issues: No control",5,15,33.3333333333333,399,0.012531328320802,"NonDMinorityDServing"
"19","1_Yes","Curriculum Issues: Covered elsewhere",2,10,20,354,0.00564971751412429,"MinorityDServing"
"20","2_No","Curriculum Issues: Covered elsewhere",8,10,80,399,0.0200501253132832,"NonDMinorityDServing"
"21","1_Yes","Curriculum Issues: Class size",3,5,60,354,0.00847457627118644,"MinorityDServing"
"22","2_No","Curriculum Issues: Class size",2,5,40,399,0.0050125313283208,"NonDMinorityDServing"
"23","1_Yes","Curriculum Issues: Plan for future coverage",5,9,55.5555555555556,354,0.0141242937853107,"MinorityDServing"
"24","2_No","Curriculum Issues: Plan for future coverage",4,9,44.4444444444444,399,0.0100250626566416,"NonDMinorityDServing"
"25","1_Yes","Curriculum Issues: Too much content",1,3,33.3333333333333,354,0.00282485875706215,"MinorityDServing"
"26","2_No","Curriculum Issues: Too much content",2,3,66.6666666666667,399,0.0050125313283208,"NonDMinorityDServing"
"27","1_Yes","Curriculum Issues: Content requires several courses",1,1,100,354,0.00282485875706215,"MinorityDServing"
"28","2_No","Curriculum Issues: Content requires several courses",0,1,0,399,0,"NonDMinorityDServing"
"29","1_Yes","Resource Issues: Access to exercises",13,31,41.9354838709677,354,0.0367231638418079,"MinorityDServing"
"30","2_No","Resource Issues: Access to exercises",18,31,58.0645161290323,399,0.0451127819548872,"NonDMinorityDServing"
"31","1_Yes","Resource Issues: Access to lesson plans",8,26,30.7692307692308,354,0.0225988700564972,"MinorityDServing"
"32","2_No","Resource Issues: Access to lesson plans",18,26,69.2307692307692,399,0.0451127819548872,"NonDMinorityDServing"
"33","1_Yes","Resource Issues: Access to intro content",7,12,58.3333333333333,354,0.019774011299435,"MinorityDServing"
"34","2_No","Resource Issues: Access to intro content",5,12,41.6666666666667,399,0.012531328320802,"NonDMinorityDServing"
"35","1_Yes","Resource Issues: Unable to vet content",8,16,50,354,0.0225988700564972,"MinorityDServing"
"36","2_No","Resource Issues: Unable to vet content",8,16,50,399,0.0200501253132832,"NonDMinorityDServing"
"37","1_Yes","Resource Issues: Funding",7,8,87.5,354,0.019774011299435,"MinorityDServing"
"38","2_No","Resource Issues: Funding",1,8,12.5,399,0.0025062656641604,"NonDMinorityDServing"
"39","1_Yes","Resource Issues: No appropriate textbook",6,9,66.6666666666667,354,0.0169491525423729,"MinorityDServing"
"40","2_No","Resource Issues: No appropriate textbook",3,9,33.3333333333333,399,0.0075187969924812,"NonDMinorityDServing"
"41","1_Yes","Resource Issues: No access to online exercises",1,3,33.3333333333333,354,0.00282485875706215,"MinorityDServing"
"42","2_No","Resource Issues: No access to online exercises",2,3,66.6666666666667,399,0.0050125313283208,"NonDMinorityDServing"
"43","1_Yes","Resource Issues: No qualified TAs",0,0,NA,354,0,"MinorityDServing"
"44","2_No","Resource Issues: No qualified TAs",0,0,NA,399,0,"NonDMinorityDServing"
"45","1_Yes","Student Issues: Background knowledge",24,39,61.5384615384615,354,0.0677966101694915,"MinorityDServing"
"46","2_No","Student Issues: Background knowledge",15,39,38.4615384615385,399,0.037593984962406,"NonDMinorityDServing"
"47","1_Yes","Student Issues: Interest in topic",7,11,63.6363636363636,354,0.019774011299435,"MinorityDServing"
"48","2_No","Student Issues: Interest in topic",4,11,36.3636363636364,399,0.0100250626566416,"NonDMinorityDServing"
"49","1_Yes","Facilities: Access to equipment",11,13,84.6153846153846,354,0.0310734463276836,"MinorityDServing"
"50","2_No","Facilities: Access to equipment",2,13,15.3846153846154,399,0.0050125313283208,"NonDMinorityDServing"
"51","1_Yes","Institutional: Inertia",1,3,33.3333333333333,354,0.00282485875706215,"MinorityDServing"
"52","2_No","Institutional: Inertia",2,3,66.6666666666667,399,0.0050125313283208,"NonDMinorityDServing"
"53","1_Yes","State Restrictions",1,1,100,354,0.00282485875706215,"MinorityDServing"
